Polish,English
część,part
historia,history
szukać,search
tylko,only
policja,police
myślałem,thought
pomoc,help
prośba,request
rodzaj,kind
miesiąc,month
brat,brother
pozwolić,let
bo,because
położyć,to put
żaden,no
smycz,leash
oni,them
miasto,city
każdy,each
mówić,speak
przybyć,come
powinien,should
dziecko,baby
długi czas,long time
godziny,hours
będą,will
podczas,while
zobaczyć,meet again
żaden,any
miejsce,square
mówić,speak
zrozumiał,understood
wiedział,knew
byli,were
uwaga,warning
oto,here is
mógł,could
sprawa,case
dać,give
typ,type
ich,their
dany,given
pociąg,train
ciało,body
miejsce,place
oczy,eyes
sposób,way
słuchać,listen
czyj,whose
znaleźć,find
pierwszy,first
zgubiony,lost
ręka,hand
pierwsza,first
strona,side
moc,power
stary,old
bądź,be
trzymaj,here
rano,morning
tak bardzo,so much
dziecko,child
punkt,point
przyszedł,came
następny,after
przepraszam,sorry
przyjdź,come
przed,in front of
w kierunku,towards
minuty,minutes
poproszony,request
pokój,bedroom
położony,placed
piękny,beautiful
prawo,law
chciałbym,would like to
dzisiaj,today
mąż,husband
powód,cause
w końcu,finally
mieć nadzieję,hope
woda,water
czekaj,wait
wyszedł,left
nowy,new
praca,job
zatrzymać,stop
powiedziałby,would say
ziemia,earth
konto,account
dany,given
daleko,far
koniec,end
wierzyć,believe
kochanie,sweetheart
duży,large
raczej,rather
będzie miał,will have
dziewczyny,girls
grać,to play
biuro,office
